Species,Female,Male,Dimor,SizeChange,ParentalCare,Plumage_dim_sum,MatingSystem,BSD,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1,NDVI,Solar,Temp,Altitude,group,erect,outlier
Oreortyx_pictus,0,0,0,0,2,0,M,0.024,567.2254327,0.153928528,-4751.192709,145.8753712,0.153928528,-4751.192709,-145.8753712,567.2254327,non-Phasianidae,No_FS,non-Phasianidae
Callipepla_squamata,0,0,0,0,2,0,M,0.0791,544.8706216,-0.166788311,-255.3190606,71.26609006,-0.166788311,-255.3190606,-71.26609006,544.8706216,non-Phasianidae,No_FS,non-Phasianidae
Callipepla_douglasii,0,0,0,0,2,9,M,0.0307,-1233.923737,-0.096027837,1186.212465,-72.81362155,-0.096027837,1186.212465,72.81362155,-1233.923737,non-Phasianidae,No_FS,non-Phasianidae
Callipepla_californica,0,0,0,0,2,6,M,0.1481,-877.6348393,0.049476734,-5150.761868,84.90094986,0.049476734,-5150.761868,-84.90094986,-877.6348393,non-Phasianidae,No_FS,non-Phasianidae
Callipepla_gambelii,0,0,0,0,2,6,M,0.0494,-134.2586383,-0.158877431,657.2291471,18.98816207,-0.158877431,657.2291471,-18.98816207,-134.2586383,non-Phasianidae,No_FS,non-Phasianidae
Philortyx_fasciatus,0,0,0,0,1,0,M,0.0317,14.93608758,0.03233021,2801.21689,-72.38496772,0.03233021,2801.21689,72.38496772,14.93608758,non-Phasianidae,No_FS,non-Phasianidae
Colinus_virginianus,0,0,0,0,2,4,nonM,0.0176,-1338.524688,0.122433539,-4175.326355,87.66843851,0.122433539,-4175.326355,-87.66843851,-1338.524688,non-Phasianidae,No_FS,non-Phasianidae
Colinus_nigrogularis,0,0,0,0,2,5,M,-0.1022,-1655.197855,0.14464433,1753.102624,-135.475,0.14464433,1753.102624,135.475,-1655.197855,non-Phasianidae,No_FS,non-Phasianidae
Colinus_leucopogon,0,0,0,0,2,4,M,-0.1101,-849.77946,0.05866536,6554.116087,-116.0553111,0.05866536,6554.116087,116.0553111,-849.77946,non-Phasianidae,No_FS,non-Phasianidae
Colinus_cristatus,0,0,0,0,1,6,M,0.0659,-933.8846612,0.031407377,3261.550932,-143.8089745,0.031407377,3261.550932,143.8089745,-933.8846612,non-Phasianidae,No_FS,non-Phasianidae
Odontophorus_gujanensis,1,1,0,1,2,0,M,0.1107,-1094.436958,0.091463801,2633.596787,-131.1220368,0.091463801,2633.596787,131.1220368,-1094.436958,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_capueira,1,1,0,1,1,0,M,0.154,-695.5237544,0.165962726,-3404.03819,-24.57110742,0.165962726,-3404.03819,24.57110742,-695.5237544,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_melanotis,1,1,0,1,2,2,M,0.0334,-605.4849254,-0.078491984,4890.948742,-106.9331594,-0.078491984,4890.948742,106.9331594,-605.4849254,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_erythrops,1,1,0,1,2,2,M,0.0334,-69.85558234,-0.247878571,-463.0033685,-77.52806965,-0.247878571,-463.0033685,77.52806965,-69.85558234,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_hyperythrus,0,0,0,0,1,3,M,0.0701,1724.513407,-0.059772226,2428.726818,-8.292814883,-0.059772226,2428.726818,8.292814883,1724.513407,non-Phasianidae,No_FS,non-Phasianidae
Odontophorus_melanonotus,1,1,0,1,2,0,M,0,1252.366409,-0.21213811,326.485704,-14.99162288,-0.21213811,326.485704,14.99162288,1252.366409,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_speciosus,1,1,0,1,2,2,M,0.0993,1050.689146,-0.035548841,-1618.262752,-16.33267389,-0.035548841,-1618.262752,16.33267389,1050.689146,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_strophium,0,0,0,0,2,3,M,0,1585.907807,-0.047510871,2677.049125,3.311133774,-0.047510871,2677.049125,-3.311133774,1585.907807,non-Phasianidae,No_FS,non-Phasianidae
Odontophorus_columbianus,0,0,0,0,2,1,M,0.0208,803.0294732,0.2562075,3400.848124,-36.1315004,0.2562075,3400.848124,36.1315004,803.0294732,non-Phasianidae,No_FS,non-Phasianidae
Odontophorus_leucolaemus,0,0,0,0,2,0,M,0.049,721.4796701,-0.158171566,5017.35026,-40.12615186,-0.158171566,5017.35026,40.12615186,721.4796701,non-Phasianidae,No_FS,non-Phasianidae
Odontophorus_balliviani,1,1,0,1,2,2,M,-0.0401,2719.515512,-0.249177633,-526.0918633,73.66227145,-0.249177633,-526.0918633,-73.66227145,2719.515512,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_stellatus,1,1,0,1,2,1,M,0.1365,-1226.119504,0.162331183,-906.6695744,-118.4833866,0.162331183,-906.6695744,118.4833866,-1226.119504,non-Phasianidae,non-erectile,non-Phasianidae
Odontophorus_guttatus,0,0,0,0,2,3,M,0.068,146.397549,0.108694178,3866.056073,-57.16779672,0.108694178,3866.056073,57.16779672,146.397549,non-Phasianidae,No_FS,non-Phasianidae
Dactylortyx_thoracicus,0,0,0,0,2,2,M,0.1925,538.9609882,0.097287842,2893.794456,-20.90363122,0.097287842,2893.794456,20.90363122,538.9609882,non-Phasianidae,No_FS,non-Phasianidae
Cyrtonyx_montezumae,0,0,0,0,2,8,M,0.0726,1224.225648,-0.067924499,1049.147571,79.77151688,-0.067924499,1049.147571,-79.77151688,1224.225648,non-Phasianidae,No_FS,non-Phasianidae
Cyrtonyx_ocellatus,0,0,0,0,2,6,M,0.1978,1341.181547,0.006647178,4577.418196,-1.196489584,0.006647178,4577.418196,1.196489584,1341.181547,non-Phasianidae,No_FS,non-Phasianidae
Rhynchortyx_cinctus,0,0,0,0,2,8,M,0.0746,-1206.705906,-0.090604837,4014.942641,-130.9276617,-0.090604837,4014.942641,130.9276617,-1206.705906,non-Phasianidae,No_FS,non-Phasianidae
Meleagris_gallopavo,4,5,1,1,1,6,nonM,0.814,-1240.835744,0.181077515,-7716.522376,172.1061918,0.181077515,-7716.522376,-172.1061918,-1240.835744,Phasianidae,non-erectile,other Phasianidae
Meleagris_ocellata,4,5,1,1,1,0,nonM,0.2857,-1426.933439,0.294392482,2634.073399,-119.9064947,0.294392482,2634.073399,119.9064947,-1426.933439,Phasianidae,non-erectile,other Phasianidae
Bonasa_umbellus,0,0,0,0,1,1,nonM,0.1365,-1079.002863,0.212132638,-9251.31573,242.1623536,0.212132638,-9251.31573,-242.1623536,-1079.002863,Phasianidae,No_FS,other grouses
Tetrastes_bonasia,0,1,1,1,1,2,M,0.0082,-1367.639103,0.127801333,-13742.41794,237.7393936,0.127801333,-13742.41794,-237.7393936,-1367.639103,Phasianidae,non-erectile,other grouses
Tetrastes_sewerzowi,0,1,1,1,1,3,M,-0.0118,3992.950774,0.026418051,-5484.854071,295.5187105,0.026418051,-5484.854071,-295.5187105,3992.950774,Phasianidae,non-erectile,other grouses
Falcipennis_falcipennis,0,1,1,1,1,4,nonM,-0.054,-856.3672924,0.116588881,-10215.23148,418.1474633,0.116588881,-10215.23148,-418.1474633,-856.3672924,Phasianidae,non-erectile,other grouses
Falcipennis_canadensis,0,1,1,1.5,1,5,nonM,0.0789,-1101.783221,0.114399426,-10007.97904,327.2749168,0.114399426,-10007.97904,-327.2749168,-1101.783221,Phasianidae,erectile,other grouses
Tetrao_urogallus,0,1,1,1.5,1,8,nonM,1.2778,-1250.07748,0.097093145,-13753.28614,234.5582976,0.097093145,-13753.28614,-234.5582976,-1250.07748,Phasianidae,erectile,other grouses
Tetrao_urogalloides,0,1,1,1.5,1,7,nonM,1.0333,-903.6073163,0.034368612,-11354.36825,455.1784784,0.034368612,-11354.36825,-455.1784784,-903.6073163,Phasianidae,erectile,other grouses
Lyrurus_tetrix,0,1,1,1.5,1,9,nonM,0.2703,-1305.271983,0.09356958,-13737.2464,229.4460098,0.09356958,-13737.2464,-229.4460098,-1305.271983,Phasianidae,erectile,other grouses
Lyrurus_mlokosiewiczi,0,1,1,1.5,1,9,nonM,0.1913,1626.216851,-0.047443614,-7283.019664,270.7003381,-0.047443614,-7283.019664,-270.7003381,1626.216851,Phasianidae,erectile,other grouses
Centrocercus_urophasianus,0,1,1,10,1,4,nonM,0.6429,1430.937952,-0.096420907,-5858.980846,215.7275455,-0.096420907,-5858.980846,-215.7275455,1430.937952,Phasianidae,erectile,Centrocercus
Centrocercus_minimus,0,1,1,10,1,4,nonM,0.75,2631.393406,-0.085030189,-3156.698919,259.9388358,-0.085030189,-3156.698919,-259.9388358,2631.393406,Phasianidae,erectile,Centrocercus
Dendragapus_obscurus,0,1,1,5,1,2,nonM,0.3392,1752.03771,-0.002888082,-7332.630263,250.3630126,-0.002888082,-7332.630263,-250.3630126,1752.03771,Phasianidae,erectile,Dendragapus
Dendragapus_fuliginosus,0,1,1,5,1,3,nonM,0.5173,-9.487919366,0.164272071,-9512.977099,180.20011,0.164272071,-9512.977099,-180.20011,-9.487919366,Phasianidae,erectile,Dendragapus
Tympanuchus_phasianellus,1,1,0,4,1,0,nonM,0.1665,-594.8062057,0.082591064,-9078.778468,276.9224089,0.082591064,-9078.778468,-276.9224089,-594.8062057,Phasianidae,erectile,Tympanuchus
Tympanuchus_pallidicinctus,0,1,1,4,1,1,nonM,0.0438,51.03860052,-0.05768823,-2249.163919,125.8466601,-0.05768823,-2249.163919,-125.8466601,51.03860052,Phasianidae,erectile,Tympanuchus
Tympanuchus_cupido,0,1,1,6,1,2,nonM,0.1784,-741.6319443,0.109231025,-5532.490313,182.4133569,0.109231025,-5532.490313,-182.4133569,-741.6319443,Phasianidae,erectile,Tympanuchus
Lagopus_leucura,0,1,1,1.5,1,8,M,0.0228,2429.535849,-0.127261104,-9890.951911,337.8138821,-0.127261104,-9890.951911,-337.8138821,2429.535849,Phasianidae,erectile,other grouses
Lagopus_muta,0,1,1,1.5,1,8,M,-0.0527,-354.5266206,-0.112988649,-14374.15218,301.6065672,-0.112988649,-14374.15218,-301.6065672,-354.5266206,Phasianidae,erectile,other grouses
Lagopus_lagopus,0,1,1,1.5,2,8,M,0.1899,-821.7265175,0.004251206,-14332.08506,287.8866795,0.004251206,-14332.08506,-287.8866795,-821.7265175,Phasianidae,erectile,other grouses
Lerwa_lerwa,0,0,0,0,1,0,M,0,4765.706391,-0.319841066,-410.5078736,294.4294098,-0.319841066,-410.5078736,-294.4294098,4765.706391,Phasianidae,No_FS,other Phasianidae
