species,Family,Altitude median,Altitude_quart25,Altitude_quart75,ndvi_min,ndvi_mean,ndvi_max,solr_min,solr_mean,solr_max,temp_mean,temp_max,temp_min,Altitude_PC1,NDVI_PC1,Solar_PC1,Temp_PC1
Crax_fasciolata,Cracidae,179.0625,116.984375,395.921875,-0.026649999,0.109762501,0.609050006,12894,15615.1665,17931.5,252,319,176,-1271.617618,0.154370067,-115.5637159,-110.7194216
Crax_blumenbachii,Cracidae,46.40625,32.9375,66,-0.043750001,0.129345834,0.65200001,11327.5,15431.5,20108.5,248,292,205,-1600.32575,0.200833694,-1403.058195,-125.8396894
Agelastes_meleagrides,Numididae,165.9375,134.25,196.125,0.035599999,0.197166666,0.498600006,13010,16079.58301,19010,250,291,215,-1396.664821,0.068278343,293.5759296,-134.8276557
Agelastes_niger,Numididae,695.9375,413.375,856.9375,0,0.141041666,0.497700006,13746,15479.83301,16919,226,271,194,-527.0406786,0.053874177,481.9872195,-100.297506
Numida_meleagris,Numididae,1059.375,400.703125,1419.53125,-0.023800001,0.074025001,0.393000007,13663,19066.5,24235,186,286,71,34.80237658,-0.063899693,2716.571894,17.60106157
Guttera_plumifera,Numididae,676.875,514.4375,869.703125,-0.0035,0.198216669,0.637549996,13701,15291.9165,16709,224.5,269,191,-478.872585,0.203428857,335.0022464,-96.5749155
Guttera_pucherani,Numididae,888.1875,131.125,1229.5,-0.0115,0.141016662,0.489899993,14393.5,17089.25,19521.5,236,304,155,-322.3669658,0.046331445,2028.291303,-81.56049745
Acryllium_vulturinum,Numididae,881,609.75,1167.0625,0,0.116483331,0.293099999,16825,18614.83398,20669,237,304,173,-123.0821204,-0.150566975,4973.377212,-96.82492189
Ptilopachus_petrosus,Odontophoridae,194.4375,36.140625,367.6875,0.028200001,0.156291664,0.395900011,16502,19220.70801,21443,271,367,188,-1321.451003,-0.041252423,5048.22525,-142.0786105
Ptilopachus_nahani,Odontophoridae,1076.8125,902.6875,1106.0625,0,0.188516676,0.628499985,15803,17695.91602,19264,225,291,176,101.9349416,0.192285802,3530.35431,-89.88991945
Dendrortyx_barbatus,Odontophoridae,1500.21875,1248.765625,1876.890625,-0.02175,0.076716669,0.431349993,12817,16460.25,18959.5,176,249,91.5,1012.460868,-0.026048846,309.1963514,14.9897957
Dendrortyx_macroura,Odontophoridae,2322.625,1724,2832.75,-0.0288,0.124600001,0.540499985,14347,17721.91602,20109,146,228,60,2339.351313,0.09147794,2342.378151,61.48168111
Dendrortyx_leucophrys,Odontophoridae,1606.6875,1336.65625,1977.5,-0.0285,0.102141671,0.476799995,16789,19554.58398,22438,177,228,123,1183.018211,0.024231004,5535.465773,-6.233547058
Oreortyx_pictus,Odontophoridae,1294.375,761.125,1754.875,-0.02195,0.183125004,0.590250015,6174.5,16690.5,26898,100,269,-26,567.2254327,0.153928528,-4751.192709,145.8753712
Callipepla_squamata,Odontophoridae,1288.15625,986.140625,1544.3125,0,0.104408335,0.279399991,10399,18477.04199,26254,170,332,2,544.8706216,-0.166788311,-255.3190606,71.26609006
Callipepla_douglasii,Odontophoridae,211.09375,28.46875,497.046875,-0.0284,0.078695834,0.358700007,12495,18300.70801,22350,241,318,137,-1233.923737,-0.096027837,1186.212465,-72.81362155
Callipepla_californica,Odontophoridae,381.4375,111.140625,836.75,0,0.16049166,0.488299996,6013,16288.41699,26067,129,286,25,-877.6348393,0.049476734,-5150.761868,84.90094986
Callipepla_gambelii,Odontophoridae,859.96875,442.09375,1303.703125,-0.0133,0.096491665,0.289499998,10709.5,19471.70801,28328,201,373,34,-134.2586383,-0.158877431,657.2291471,18.98816207
Philortyx_fasciatus,Odontophoridae,982.03125,534.5625,1352.296875,-0.036600001,0.111441668,0.482800007,14612,18146.95801,20379,232,322,141,14.93608758,0.03233021,2801.21689,-72.38496772
Colinus_virginianus,Odontophoridae,182.8125,39.875,348.4375,-0.0186,0.161116675,0.563300014,7746,15698.625,22860,158,307,-3,-1338.524688,0.122433539,-4175.326355,87.66843851
Colinus_nigrogularis,Odontophoridae,13.4375,5.75,31.5625,-0.031800002,0.205316663,0.575100005,13408.5,18028.91602,21109,260,306,205,-1655.197855,0.14464433,1753.102624,-135.475
Colinus_leucopogon,Odontophoridae,447.6875,103.6875,825.3125,-0.041200001,0.145149991,0.50150001,17679.5,19990.5,22863,244,294,195,-849.77946,0.05866536,6554.116087,-116.0553111
Colinus_cristatus,Odontophoridae,207.65625,65.734375,945.625,-0.0447,0.110749997,0.481999993,15748.5,17198.08301,19571.5,258,294,220,-933.8846612,0.031407377,3261.550932,-143.8089745
Odontophorus_gujanensis,Odontophoridae,240,111.3125,624.5625,-0.0166,0.131466672,0.538800001,14999,17276.66602,19357,249,288,212,-1094.436958,0.091463801,2633.596787,-131.1220368
Odontophorus_capueira,Odontophoridae,565.3125,246.46875,845.59375,0,0.091666669,0.62559998,9838,14244.25,18429.5,198.5,271,119,-695.5237544,0.165962726,-3404.03819,-24.57110742
Odontophorus_melanotis,Odontophoridae,635.71875,353.375,836.859375,0,0.105483331,0.37015,16340,19090.54199,22076.5,228,262,203.5,-605.4849254,-0.078491984,4890.948742,-106.9331594
Odontophorus_erythrops,Odontophoridae,817.5625,390.5,1486.625,-0.0163,0.053516667,0.208499998,13077.5,14771.41699,16692,215,248,180,-69.85558234,-0.247878571,-463.0033685,-77.52806965
Odontophorus_hyperythrus,Odontophoridae,1932.875,1663.59375,2269.40625,0,0.110466667,0.388200015,15245,16622.75,18052,169,203,138,1724.513407,-0.059772226,2428.726818,-8.292814883
Odontophorus_melanonotus,Odontophoridae,1683.375,1375.5,1984.875,-0.0094,0.05655833,0.244599998,13819.5,15076.70801,16632.5,175,211,140,1252.366409,-0.21213811,326.485704,-14.99162288
Odontophorus_speciosus,Odontophoridae,1529.96875,1128.84375,2006.234375,0,0.094762497,0.417099997,12317,13899.8335,15790.5,187.5,237,126,1050.689146,-0.035548841,-1618.262752,-16.33267389
Odontophorus_strophium,Odontophoridae,1991.125,1446.375,2170.34375,-0.038400002,0.08623334,0.406800002,15346,16845.91602,18737,165,211,124,1585.907807,-0.047510871,2677.049125,3.311133774
Odontophorus_columbianus,Odontophoridae,1424.40625,1061.65625,1765.984375,0,0.175100014,0.697750002,15562,17679.79199,20438.5,188.5,227,152.5,803.0294732,0.2562075,3400.848124,-36.1315004
Odontophorus_leucolaemus,Odontophoridae,1376.625,1140.609375,1617.703125,-0.030200001,0.06405,0.298300013,16518,19074.70801,21804,186,223.5,160,721.4796701,-0.158171566,5017.35026,-40.12615186
Odontophorus_balliviani,Odontophoridae,2521.125,2112.53125,2938.1875,0,0.037949998,0.211099997,13237,14440.25,16170,136,179,66,2719.515512,-0.249177633,-526.0918633,73.66227145
